greV,greQ,greA,cgpa,univName
150.0,166.0,3.0,4.0,Ohio State University
157.0,151.0,5.5,3.57,Texas A&M University
155.0,167.0,4.0,3.66,"University Of California, Irvine"
161.0,157.0,4.0,3.1,Boston University
154.0,170.0,4.0,3.38,Oregon State University
162.0,164.0,5.5,3.81,Stanford University
166.0,170.0,5.0,4.0,McGill University
165.0,162.0,5.5,3.65,University Of Texas At Austin
165.0,162.0,5.5,3.65,Columbia University
165.0,162.0,5.5,3.65,University Of Michigan
165.0,162.0,5.5,3.65,University Of Virginia
165.0,162.0,5.5,3.65,Carnegie Mellon University
157.0,161.0,4.0,3.2,University Of Texas At Dallas
169.0,166.0,4.0,3.74,New York University
165.0,167.0,5.0,3.63,University Of Southern California
151.0,165.0,4.5,3.98,Northeastern University
163.0,160.0,4.5,3.16,Tufts University
160.0,167.0,4.0,3.74,Iowa State University
143.0,142.0,0.0,2.9,Columbia University
162.0,160.0,0.0,3.4,North Carolina State University
167.0,170.0,5.5,3.62,University Of Southern California
164.0,164.0,4.5,3.15,American University
156.0,152.0,4.5,3.69,NCSU (North Carolina State University)
158.0,169.0,4.0,3.46,University Of Southern California
159.0,170.0,3.5,3.8,McGill University
161.0,154.0,3.5,3.69,"University Of Californa, Los Angeles (UCLA)"
155.0,158.0,4.0,3.28,"University Of California, Irvine"
170.0,170.0,0.0,4.0,Columbia University
170.0,170.0,0.0,4.0,Columbia University
159.0,162.0,4.5,3.68,Stanford University
165.0,163.0,5.0,3.52,Princeton University
148.0,168.0,3.5,3.44,University Of Wisconsin-Madison
153.0,167.0,3.0,3.6,University Of Southern California
152.0,169.0,3.5,3.45,Purdue University - West Lafayette
161.0,166.0,3.5,3.88,Northwestern University
161.0,166.0,3.5,3.88,"University Of Colorado, Boulder"
160.0,157.0,4.0,2.0,Columbia University
152.0,162.0,4.0,3.76,Northeastern University
170.0,163.0,6.0,3.84,University Of Notre Dame
153.0,145.0,3.5,3.2,Clemson University
158.0,170.0,4.0,8.48,Northeastern University
163.0,163.0,5.0,3.68,Stanford University
164.0,164.0,4.0,3.94,University Of Wisconsin-Madison
162.0,160.0,5.0,3.7,Princeton University
158.0,161.0,4.5,3.6,University Of Michigan
161.0,168.0,4.0,3.17,University Of Southern California
161.0,158.0,4.0,3.1,Columbia University
159.0,156.0,5.0,3.76,University Of Cincinnati
155.0,147.0,3.5,3.67,University Of South Carolina
170.0,167.0,4.5,3.6,Columbia University
159.0,158.0,5.0,3.41,University Of South Florida
161.0,167.0,4.0,3.3,University Of Southern California
159.0,156.0,5.5,3.12,University Of South Florida
160.0,156.0,4.0,3.51,University Of Minnesota
154.0,157.0,4.5,3.62,Emory University
165.0,170.0,5.0,4.0,New York University
165.0,170.0,5.0,4.0,Columbia University
167.0,170.0,4.5,3.72,Columbia University
155.0,150.0,4.0,3.56,University Of Cincinnati
154.0,159.0,4.0,3.12,University Of Southern California
160.0,164.0,5.5,3.6,University Of Washington
162.0,153.0,5.0,3.75,George Washington University
170.0,169.0,6.0,4.0,University Of Toronto
152.0,165.0,3.5,3.6,Arizona State University
162.0,153.0,5.0,3.75,Boston University
158.0,165.0,5.0,3.63,University Of Pennsylvania
169.0,161.0,4.5,3.89,University Of Washington
162.0,169.0,4.5,3.95,Carnegie Mellon University
150.0,149.0,4.0,3.7,University Of Houston
151.0,170.0,3.0,3.72,UC San Diego (UCSD)
169.0,164.0,5.0,3.57,University Of Chicago
151.0,161.0,4.0,4.0,Clemson University
151.0,161.0,4.0,4.0,Colorado State University
160.0,148.0,4.5,3.86,University Of Houston
166.0,152.0,5.0,4.0,Harvard University
156.0,158.0,4.0,3.8,Columbia University
